chr	start	stop
MCM3	6	52264014	52284881
EFHC1	6	52362123	52529886
DST	6	56457987	56954830
ZNF451	6	57086844	57170305
BAG2	6	57172326	57189833
PTP4A1	6	63521746	63583588
SLC17A5	6	73593379	73653992
SENP6	6	75601509	75718281
MYO6	6	75749201	75919537
HMGN3	6	79201245	79234689
SH3BGRL2	6	79537185	79703655
TPBG	6	82363206	82367420
ME1	6	83210402	83431051
MRAP2	6	84033772	84090881
SYNCRIP	6	85607779	85644063
PM20D2	6	89146055	89165565
ANKRD6	6	89433152	89633834
CASP8AP2	6	89829894	89874436
MAP3K7	6	90513573	90587086
EPHA7	6	93240020	93419687
MANEA	6	95577485	95609470
ASCC3	6	100508194	100881372
PREP	6	105273218	105454062
ATG5	6	106045423	106325791
CRYBG1	6	106360717	106572017
RTN4IP1	6	106570771	106629498
MTRES1	6	107028199	107051586
FOXO3	6	108559835	108684774
TRAF3IP2	6	111555381	111606906
HDAC2	6	113933028	114011308
HS3ST5	6	114055596	114343023
RWDD1	6	116571409	116597675
ZUP1	6	116635618	116668794
MCM9	6	118813442	118935162
MAN1A1	6	119177205	119349761
GJA1	6	121435595	121449727
ECHDC1	6	127288712	127343609
ENPP3	6	131628442	131747418
ENPP1	6	131808016	131895155
STX7	6	132445867	132513198
SGK1	6	134169248	134318112
HBS1L	6	134960378	135103056
MAP7	6	136342281	136550819
MAP3K5	6	136557046	136793097
IFNGR1	6	137197483	137219449
REPS1	6	138903493	138988261
HECA	6	139135080	139180802
ADGRG6	6	142301854	142446266
HIVEP2	6	142751469	142956698
PLAGL1	6	143940300	144064599
UTRN	6	144285335	144853034
STXBP5	6	147204180	147391010
SAMD5	6	147508690	147737547
TAB2	6	149218641	149411613
SUMO4	6	149400262	149401278
KATNA1	6	149594873	149648972
LATS1	6	149658153	149718105
RMND1	6	151398898	151452158
CNKSR3	6	154387515	154510685
TCP1	6	159778498	159789703
IGF2R	6	159969082	160113507
LPA	6	160531482	160664275
PDE10A	6	165327287	165988117
SMOC2	6	168441151	168673445
PHF10	6	169703902	169725566
TBP	6	170554302	170572870
PDGFA	7	497258	520296
MAD1L1	7	1815793	2233243
PMS2	7	5970925	6009130
AIMP2	7	6009255	6023834
RAC1	7	6374527	6403967
RPA3	7	7636518	7718607
GLCCI1	7	7968796	8094272
ICA1	7	8113184	8262687
TMEM106B	7	12211270	12243367
TSPAN13	7	16753755	16784536
AHR	7	16916359	17346152
HDAC9	7	18086949	19002416
TWIST1	7	19020991	19117636
MACC1	7	20134655	20217404
CDCA7L	7	21900899	21945903
CYCS	7	25118656	25125260
CBX3	7	26201162	26213607
HOXA5	7	27141052	27143681
HOXA9	7	27162438	27175180
HOXA10	7	27170605	27180261
HOXA13	7	27193503	27200091
SCRN1	7	29920104	29990289
EPDR1	7	37920640	37951936
BLVRA	7	43758680	43807342
URGCP	7	43875894	43926411
OGDH	7	44606572	44709066
ZMIZ2	7	44748581	44769881
PURB	7	44876299	44885530
SNHG15	7	44983019	44986961
TBRG4	7	45100100	45112047
EGFR	7	55019017	55211628
LANCL2	7	55365337	55433737
CCT6A	7	56051685	56063989
GUSB	7	65960684	65982215
NSUN5	7	73302516	73308826
BCL7B	7	73536356	73557690
TBL2	7	73567537	73578791
ABHD11	7	73736094	73738852
LIMK1	7	74082933	74122525
GTF2I	7	74650231	74760692
RHBDD2	7	75842602	75888926
POR	7	75899200	75986855
GNAI1	7	79768028	80226181
CACNA2D1	7	81946444	82443956
SLC25A40	7	87833568	87876360
SRI	7	88205115	88226993
STEAP4	7	88270892	88306894
STEAP1	7	90154456	90164829
GTPBP10	7	90335223	90391453
CDK14	7	90466424	91210590
FZD1	7	91264433	91271326
CDK6	7	92604921	92836573
VPS50	7	93232340	93361123
TFPI2	7	93885396	93890753
PEG10	7	94656325	94669695
PON2	7	95404862	95435329
SLC25A13	7	96120220	96322147
SDHAF3	7	97117698	97181763
TECPR1	7	98214624	98252232
TRRAP	7	98877933	99050831
SMURF1	7	99027440	99144108
CYP3A5	7	99648194	99679996
MCM7	7	100092233	100101940
MEPCE	7	100428322	100434126
GIGYF1	7	100679507	100694250
EPHB4	7	100802565	100827523
ORAI2	7	102433106	102456825
PSMC2	7	103328570	103370346
SLC26A3	7	107765467	107803225
DLD	7	107891162	107931730
IFRD1	7	112422887	112481017
MDFIC	7	114922094	115019917
TES	7	116210506	116258783
CAV2	7	116287380	116508541
MET	7	116672196	116798377
TSPAN12	7	120787320	120858402
WASL	7	123681943	123749003
SND1	7	127652194	128092609
IMPDH1	7	128392277	128409986
TNPO3	7	128954180	129055173
TMEM209	7	130164713	130207770
MEST	7	130486171	130506465
PODXL	7	131500262	131558217
AKR1B1	7	134442356	134459284
CYREN	7	135092363	135170795
ZC3HAV1L	7	139025706	139036042
FMC1	7	139339457	139346328
HIPK2	7	139561570	139777998
BRAF	7	140719327	140924929
MGAM	7	141907813	142106747
EPHB6	7	142855061	142871094
TRPV6	7	142871208	142885745
CASP2	7	143288215	143307696
ZYX	7	143381295	143391111
EPHA1	7	143390289	143408856
CUL1	7	148697914	148801110
PDIA4	7	149003062	149028662
AGAP3	7	151085831	151144436
PRKAG2	7	151556124	151877214
SHH	7	155799980	155812463
NOM1	7	156949712	156973176
CD99	X	2691187	2741309
PRPS2	X	12791355	12824222
RAB9A	X	13689128	13710504
RBBP7	X	16839283	16870362
RAI2	X	17800049	17861337
PDHA1	X	19343893	19361718
ZFX	X	24149173	24216255
DMD	X	31097677	33339609
TSPAN7	X	38561542	38688920
BCOR	X	40049815	40177329
DDX3X	X	41333348	41364472
CASK	X	41514934	41923554
MAOA	X	43654907	43746817
KDM6A	X	44873188	45112779
RGN	X	47078355	47093314
RBM10	X	47145221	47186813
UBA1	X	47190861	47215128
CDK16	X	47217860	47229997
USP11	X	47232866	47248328
ELK1	X	47635520	47650604
PORCN	X	48508959	48520814
EBP	X	48521799	48528716
HDAC6	X	48801377	48824982
PIM2	X	48913182	48919024
TFE3	X	49028726	49043410
PLP2	X	49171898	49175235
SMC1A	X	53374149	53422728
HSD17B10	X	53431258	53434370
HUWE1	X	53532096	53686752
PHF8	X	53936676	54048958
APEX2	X	55000363	55009057
SPIN3	X	56818298	56995827
ZC4H2	X	64915802	65034713
MSN	X	65588377	65741931
AR	X	67544021	67730619
IGBP1	X	70133447	70166324
FOXO4	X	71095851	71103535
MED12	X	71118543	71144103
GJB1	X	71212811	71225516
ZMYM3	X	71239624	71255146
NONO	X	71254814	71301522
TAF1	X	71366136	71532374
OGT	X	71533087	71575892
HDAC8	X	72329516	72573101
PBDC1	X	76173040	76178755
ATRX	X	77504880	77786233
ATP7A	X	77910690	78050395
PGK1	X	77910739	78129295
GLA	X	101393273	101408012
GPRASP1	X	102651092	102659083
GPRASP2	X	102712445	102717733
BEX2	X	103309346	103311007
TBC1D8B	X	106802673	106876150
PRPS1	X	107628428	107651993
MID2	X	107825755	107931637
PSMD10	X	108084207	108091549
COL4A5	X	108439838	108697545
NXT2	X	109535781	109544698
ACSL4	X	109624244	109733403
TMEM164	X	110002631	110184247
ALG13	X	111665811	111760649
AMOT	X	112774503	112840831
PLS3	X	115561174	115650861
IL13RA1	X	118727133	118794535
NKRF	X	119588337	119606443
SEPTIN6	X	119615724	119693370
LAMP2	X	120426148	120469365
CUL4B	X	120505920	120604074
MCTS1	X	120594010	120621159
XIAP	X	123859712	123913972
SMARCA1	X	129446501	129523500
OCRL	X	129539849	129592561
BCORL1	X	129981107	130058071
ELF4	X	130063955	130110716
AIFM1	X	130124666	130165879
PHF6	X	134373288	134428791
HPRT1	X	134460165	134520513
RTL8C	X	135032355	135033546
RBMX	X	136848004	136880764
TMEM185A	X	149596556	149631912
HMGB3	X	150980509	150990771
TREX2	X	153444473	153470587
HCFC1	X	153947557	153971818
IRAK1	X	154010506	154019902
EMD	X	154379273	154381574
FAM3A	X	154506159	154516242
G6PD	X	154517825	154547572
IKBKG	X	154541199	154565046
DKC1	X	154762742	154777689
FBXO25	8	406428	477967
MCPH1	8	6406592	6648508
TNKS	8	9555912	9782346
FDFT1	8	11795573	11839395
PSD3	8	18527303	19084730
LPL	8	19901717	19967259
XPO7	8	21919662	22006585
REEP4	8	22138020	22141951
CCAR2	8	22604757	22620964
TNFRSF10B	8	23020133	23069031
TNFRSF10D	8	23135588	23164027
TNFRSF10A	8	23190452	23225102
NKX3-1	8	23678697	23682938
ADAM28	8	24294069	24359014
KCTD9	8	25427847	25458476
DPYSL2	8	26514031	26658178
PTK2B	8	27311482	27459391
EPHX2	8	27490781	27548615
ZNF395	8	28345590	28402701
FZD3	8	28494205	28574267
LEPROTL1	8	30095408	30177208
RBPMS	8	30384511	30572256
GSR	8	30678066	30727846
WRN	8	31033788	31176138
ERLIN2	8	37736601	37758422
EIF4EBP1	8	38030534	38060365
ASH2L	8	38105493	38144076
PLEKHA2	8	38901235	38973912
ADAM9	8	38996754	39105445
TCIM	8	40153482	40155310
SFRP1	8	41261962	41309473
IKBKB	8	42271302	42332460
POLB	8	42338454	42371808
SLC20A2	8	42416475	42541926
HOOK3	8	42896946	43030535
FNTA	8	43034194	43085788
PRKDC	8	47773111	47960178
MCM4	8	47960185	47978160
SNAI2	8	48917598	48921740
ATP6V1H	8	53715543	53843558
LYN	8	55879835	56014169
CHD7	8	60678740	60868028
YTHDF3	8	63168553	63212786
RRS1	8	66429014	66430733
COPS5	8	67043079	67083783
CSPP1	8	67062417	67196778
NCOA2	8	70109782	70403808
TERF1	8	73008856	73048123
STAU2	8	73420369	73747708
ELOC	8	73939169	73972307
JPH1	8	74234700	74321540
ZFHX4	8	76681239	76867281
ZC2HC1A	8	78666050	78719765
ZBTB10	8	80485619	80526265
SNX16	8	81799581	81842866
WWP1	8	86342547	86478420
RMDN1	8	86468257	86514357
RIPK2	8	89757806	89791064
OSGIN2	8	89901849	89927888
NBN	8	89924515	90003228
PTDSS1	8	96261902	96336995
SDC2	8	96493813	96611790
TSPYL5	8	97273488	97277928
LAPTM4B	8	97775057	97853013
RIDA	8	98102344	98117171
STK3	8	98371228	98942827
VPS13B	8	99013266	99877580
YWHAZ	8	100916523	100953388
GRHL2	8	101492439	101669726
UBR5	8	102252273	102412759
FZD6	8	103298433	103332866
ANGPT1	8	107249482	107498055
NUDCD1	8	109240919	109334121
UTP23	8	116766505	116849463
MAL2	8	119165034	119245673
DEPTOR	8	119873717	120050918
SQLE	8	124998497	125022283
TRIB1	8	125430358	125438403
LRATD2	8	126552443	126558478
PCAT1	8	126556323	127419050
MYC	8	127735434	127742951
PVT1	8	127794513	128188202
EFR3A	8	131904093	132013642
NDRG1	8	133237175	133302022
CHRAC1	8	140511311	140517154
PTK2	8	140657900	141002216
JRK	8	142657460	142681968
TOP1MT	8	143304384	143359979
SCRIB	8	143790920	143815773
PLEC	8	143915153	143976734
SHARPIN	8	144098633	144108124
HGH1	8	144137774	144140851
HSF1	8	144291591	144314720
DGAT1	8	144314584	144326910
CYHR1	8	144449582	144462871
SMARCA2	9	1980290	2193624
VLDLR	9	2621182	2660056
PUM3	9	2720469	2844095
JAK2	9	4984390	5129948
MPDZ	9	13105706	13279692
PSIP1	9	15464066	15510995
PLIN2	9	19108375	19149290
MTAP	9	21802636	21937651
APTX	9	32886601	33025130
DNAJA1	9	33025273	33039907
NFX1	9	33290512	33371157
AQP7	9	33383179	33402682
UBAP2	9	33921693	34049388
SIGMAR1	9	34634722	34637844
IL11RA	9	34652162	34661902
CREB3	9	35732598	35736999
GLIPR2	9	36136536	36163913
RNF38	9	36336396	36487548
ALDH1B1	9	38392702	38398661
TJP2	9	69121264	69274615
TRPM3	9	70529060	71446977
CEMIP2	9	71683366	71816690
ZFAND5	9	72351413	72365235
RORB	9	74497335	74693177
VPS13A	9	77177445	77421537
GNAQ	9	77716097	78031811
DAPK1	9	87497228	87708634
CTSL	9	87724051	87731469
SPIN1	9	88388430	88478694
CKS2	9	89311195	89316703
SEMA4D	9	89360787	89498130
GADD45G	9	89605012	89606555
NINJ1	9	93121496	93134251
FBP1	9	94603133	94640249
PTCH1	9	95442980	95517057
TDRD7	9	97412096	97496125
NCBP1	9	97633668	97673748
XPA	9	97674909	97697340
TGFBR1	9	99104038	99154192
ALG2	9	99216425	99221942
NR4A3	9	99821855	99866891
INVS	9	100099243	100302175
NIPSNAP3A	9	104747683	104760120
ABCA1	9	104781006	104928155
FKTN	9	105558122	105653820
KLF4	9	107484852	107490482
CTNNAL1	9	108942569	109013522
ECPAS	9	111360685	111484745
SNX30	9	112750760	112881671
FKBP15	9	113161006	113221458
ALAD	9	113386312	113401290
TNC	9	115019575	115118207
PAPPA	9	116153791	116402321
ASTN2	9	116423112	117415070
PTGS1	9	122370530	122395703
RC3H2	9	122844556	122905359
NEK6	9	124257606	124353307
PBX3	9	125747345	125967377
RALGPS1	9	126914774	127223166
CDK9	9	127785679	127790792
ENG	9	127811130	127854773
GOLGA2	9	128255829	128276026
ZER1	9	128729786	128772414
SH3GLB2	9	129007036	129028331
PTPA	9	129110950	129148946
NTMT1	9	129608884	129636135
PTGES	9	129738331	129753042
TOR1A	9	129812942	129824244
NCS1	9	130172404	130237303
FUBP3	9	130578965	130638352
ABL1	9	130713043	130887675
AIF1L	9	131096476	131123152
NUP214	9	131125573	131234663
POMT1	9	131502789	131523806
NTNG2	9	132162058	132244526
DDX31	9	132592997	132670401
TSC1	9	132891348	132946874
ABO	9	133233278	133276024
SURF6	9	133328776	133336188
BRD3	9	134030305	134068535
WDR5	9	134135365	134159968
RXRA	9	134317098	134440585
COL5A1	9	134641803	134844843
PAEP	9	135561756	135566955
NACC2	9	136006537	136095289
SEC16A	9	136440096	136483759
NOTCH1	9	136494433	136546048
RABL6	9	136807943	136841187
TRAF2	9	136881912	136929221
SAPCD2	9	137062127	137070557
MAN1B1	9	137086857	137109189
ZMYND19	9	137582081	137590512
EHMT1	9	137618992	137870016
RIC8A	11	207708	215113
SIRT3	11	215030	236931
SIGIRR	11	405715	417455
HRAS	11	532242	537321
PNPLA2	11	818914	825573
CD151	11	832887	839831
AP2A2	11	924881	1012245
TOLLIP	11	1274371	1309654
MOB2	11	1469457	1501247
TSSC4	11	2400488	2403878
KCNQ1	11	2444654	2849105
CDKN1C	11	2883213	2885775
NAP1L4	11	2944431	2992377
NUP98	11	3671083	3797792
PGAP2	11	3797724	3826371
STIM1	11	3854527	4093210
RRM1	11	4094707	4138932
TRIM21	11	4384897	4393702
TRIM5	11	5663195	5938619
SMPD1	11	6390440	6394998
ILK	11	6603708	6610874
STK33	11	8391868	8594289
TMEM9B	11	8947202	8965011
IPO7	11	9384652	9448127
WEE1	11	9573670	9593457
ADM	11	10305073	10307397
DKK3	11	11956207	12009769
MICAL2	11	12094008	12362140
ARNTL	11	13276652	13387266
FAR1	11	13668659	13732346
NUCB2	11	17208153	17349980
KCNJ11	11	17365172	17389331
ABCC8	11	17392498	17476894
HPS5	11	18278668	18322198
LDHA	11	18394560	18408425
TSG101	11	18468336	18526951
UEVLD	11	18529609	18588747
NAV2	11	19350724	20121601
HTATIP2	11	20363685	20383782
LGR4	11	27365961	27472790
KCNA4	11	30009730	30017030
MPPED2	11	30384493	30586872
HIPK3	11	33256672	33357023
CD59	11	33703010	33736479
ABTB2	11	34150987	34358010
CAT	11	34438934	34472060
EHF	11	34621093	34663288
CD44	11	35138882	35232402
TRAF6	11	36483769	36510272
API5	11	43311963	43344529
CD82	11	44564427	44620363
TSPAN18	11	44726465	44932423
CRY2	11	45847118	45883248
MAPK8IP1	11	45885651	45906465
CKAP5	11	46743048	46846308
DDB2	11	47214465	47239217
NR1H3	11	47248300	47269033
MTCH2	11	47617315	47642607
PTPRJ	11	47980425	48170839
FOLH1	11	49145092	49208638
SSRP1	11	57325986	57335892
TMX2	11	57712580	57742987
CTNND1	11	57753243	57819546
LPXN	11	58526871	58578220
CCDC86	11	60842113	60851081
PRPF19	11	60890547	60906585
TMEM109	11	60913907	60923443
PGA3	11	61203307	61213098
DDB1	11	61299451	61342596
FADS2	11	61792980	61867354
FADS1	11	61799627	61829318
EEF1G	11	62559596	62574086
MTA2	11	62593214	62601865
GANAB	11	62624826	62646726
UQCC3	11	62670273	62673686
TTC9C	11	62728069	62740293
POLR2G	11	62761565	62766710
NXF1	11	62792123	62806302
WDR74	11	62832342	62841809
SNHG1	11	62851833	62856444
SLC3A2	11	62856004	62888880
ATL3	11	63624087	63671921
MARK2	11	63838928	63911020
NAA40	11	63938959	63957319
OTUB1	11	63985853	64001811
VEGFB	11	64234584	64239264
GPR137	11	64270062	64289494
ESRRA	11	64305497	64316743
MAP4K2	11	64784918	64803241
MEN1	11	64803510	64811294
CDC42BPG	11	64823052	64844653
SNX15	11	65027439	65040572
ZFPL1	11	65084210	65088398
SYVN1	11	65121780	65134532
CAPN1	11	65180566	65212006
DPF2	11	65333843	65354262
PCNX3	11	65615776	65637439
RELA	11	65653599	65663090
KAT5	11	65711996	65719604
AP5B1	11	65773898	65780976
FIBP	11	65883740	65888531
SART1	11	65961728	65980137
EIF1AD	11	65996545	66002176
B4GAT1	11	66345374	66347629
RBM14	11	66616626	66629934
PC	11	66848417	66958386
GRK2	11	67266473	67286556
ANKRD13D	11	67289300	67302485
PPP1CA	11	67398181	67421183
CORO1B	11	67435510	67443821
AIP	11	67468174	67491154
CHKA	11	68052859	68121444
LRP5	11	68312591	68449275
CPT1A	11	68754620	68844410
CCND1	11	69641156	69654474
ANO1	11	69985907	70189530
FADD	11	70203296	70207390
PPFIA1	11	70270690	70385312
CTTN	11	70398404	70436584
DHCR7	11	71428193	71452868
RNF121	11	71929018	71997597
NUMA1	11	72002864	72080693
FOLR1	11	72189558	72196323
INPPL1	11	72223701	72239147
FAM168A	11	73400487	73598189
UCP2	11	73974061	73982843
SERPINH1	11	75562056	75572783
EMSY	11	76444923	76553031
PAK1	11	77322017	77474635
PRCP	11	82822936	82970584
TMEM126A	11	85647967	85656547
PICALM	11	85957175	86069882
EED	11	86201212	86279807
FZD4	11	86945679	86955395
CTSC	11	88265069	88359684
MRE11	11	94415570	94493885
FUT4	11	94543921	94549895
SESN3	11	95165513	95232541
FAM76B	11	95768953	95790409
MAML2	11	95976598	96343195
YAP1	11	102110447	102233424
BIRC2	11	102347211	102378670
TMEM123	11	102396332	102470384
PDGFD	11	103907189	104164379
CUL5	11	108008898	108107761
ACAT1	11	108116695	108148957
NPAT	11	108155280	108222638
ATM	11	108222804	108369102
DDX10	11	108665058	108940999
FDX1	11	110429948	110464884
SIK2	11	111602449	111730855
ALG9	11	111782195	111871581
NKAPD1	11	112074086	112085150
TTC12	11	113314579	113383544
ZBTB16	11	114059041	114256765
REXO2	11	114439435	114450279
ZPR1	11	116773799	116788039
SIK3	11	116843402	117098437
BACE1	11	117285232	117316259
KMT2A	11	118436456	118526832
DDX6	11	118747763	118791164
SLC37A4	11	119023751	119030906
HYOU1	11	119044188	119057227
H2AFX	11	119093874	119095465
DPAGT1	11	119096025	119108331
NECTIN1	11	119623408	119729200
SORL1	11	121452314	121633763
HSPA8	11	123057489	123063230
SIAE	11	124633113	124695707
CHEK1	11	125625163	125676255
FOXRED1	11	126269024	126278131
TIRAP	11	126282497	126298845
TMEM45B	11	129815848	129860003
PRDM10	11	129899706	130002835
ST14	11	130159782	130210362
SNX19	11	130866250	130916479
IGSF9B	11	133896438	133956968
JAM3	11	134069071	134152001
THYN1	11	134248279	134253370
B3GAT1	11	134378504	134412242
LARP4B	10	806933	931821
GTPBP4	10	988434	1019932
WDR37	10	1049538	1160991
PFKP	10	3066333	3137718
PFKFB3	10	6144934	6254644
ATP5F1C	10	7788147	7807815
GATA3	10	8045378	8075198
CDC123	10	12195965	12250589
OPTN	10	13099449	13138308
BMI1	10	22321099	22331484
MPP7	10	28050993	28334486
SVIL	10	29457338	29736959
MTPAP	10	30309801	30374448
KIF5B	10	32009015	32056425
CCDC7	10	32446140	32882874
NRP1	10	33177492	33336262
PARD3	10	34109560	34815325
CUL2	10	35008504	35127006
CCNY	10	35247025	35572669
HNRNPF	10	43385617	43409186
RASSF4	10	44959407	44995891
NCOA4	10	46005088	46030623
ANXA8	10	47460162	47484158
MAPK8	10	48306639	48439360
ERCC6	10	49454168	49539538
WASHC2A	10	50067888	50133509
UBE2D1	10	58334979	58370751
TFAM	10	58385345	58399220
CCDC6	10	59788747	59906556
CDK1	10	60778331	60794852
SIRT1	10	67884656	67918390
PBLD	10	68282660	68333049
RUFY2	10	68341107	68407294
DDX50	10	68901286	68946847
DDX21	10	68956135	68985068
SUPV3L1	10	69180234	69209099
HK1	10	69269984	69401884
EIF4EBP2	10	70404145	70428618
PCBD1	10	70882280	70888565
DNAJB12	10	72332830	72355149
P4HA1	10	73007217	73096974
ECD	10	73130155	73169055
DNAJC9	10	73183362	73247255
CAMK2G	10	73812501	73874591
VCL	10	73995193	74121363
VDAC2	10	75210154	75231448
KCNMA1	10	76869601	77638369
ZMIZ1	10	79068966	79316519
PPIF	10	79347469	79355334
PRXL2A	10	80407829	80437115
TSPAN14	10	80454265	80533124
GHITM	10	84139482	84154841
WAPL	10	86435256	86521792
BMPR1A	10	86755786	86932825
MMRN2	10	86935540	86969481
GLUD1	10	87050202	87094843
SHLD2	10	87094161	87191465
MINPP1	10	87504875	87553461
PTEN	10	87862638	87971930
FAS	10	88953813	89029605
LIPA	10	89213569	89414557
BTAF1	10	91923770	92031437
CPEB3	10	92046692	92291078
IDE	10	92451684	92574096
MYOF	10	93306429	93482334
FRA10AC1	10	93667883	93702592
NOC3L	10	94333226	94362959
CRTAC1	10	97865000	98030828
GOT1	10	99396870	99430624
CHUK	10	100188300	100229596
BLOC1S2	10	100273280	100286680
PAX2	10	100735396	100829944
BTRC	10	101354033	101557321
NPM3	10	101781325	101783446
ARMH3	10	101845599	102056193
NOLC1	10	102152176	102163871
GBF1	10	102245371	102382899
NFKB2	10	102394110	102402524
CUEDC2	10	102423245	102432584
SFXN2	10	102714538	102743492
NT5C2	10	103087185	103277605
COL17A1	10	104031286	104085880
GSTO1	10	104235356	104267459
XPNPEP1	10	109864766	109923553
SMC3	10	110567684	110606048
PDCD4	10	110871795	110900006
TCF7L2	10	112950247	113167678
CASP7	10	113679162	113730907
ADRB1	10	114043866	114046904
AFAP1L2	10	114294824	114404756
TRUB1	10	114938195	114977676
EMX2	10	117542445	117549546
CACUL1	10	118674167	118755249
EIF3A	10	119033670	119080817
BAG3	10	119651380	119677819
FGFR2	10	121478332	121598458
TACC2	10	121989163	122254545
PLEKHA1	10	122374696	122432354
CTBP2	10	124984317	125161170
EDRF1	10	125719515	125764143
BCCIP	10	125823546	125853695
MGMT	10	129467190	129770983
BNIP3	10	131967684	131981967
ECHS1	10	133362485	133373354
RAD52	12	911736	990053
ERC1	12	990509	1495933
ADIPOR2	12	1688574	1788674
TSPAN9	12	3077355	3286564
PARP11	12	3791047	3873448
CCND2	12	4269771	4305353
TNFRSF1A	12	6328757	6342114
SCNN1A	12	6346843	6377730
LTBR	12	6375045	6391571
NOP2	12	6556863	6568691
USP5	12	6852148	6866632
ENO2	12	6913745	6923698
PTPN6	12	6946468	6961316
PHB2	12	6965327	6970780
C1RL	12	7089587	7109238
CLSTN3	12	7129698	7158945
FOXJ2	12	8032716	8055517
STYK1	12	10618923	10674318
ETV6	12	11649674	11895377
LRP6	12	12116025	12267044
CDKN1B	12	12685498	12722369
EMP1	12	13196723	13219941
RERG	12	15107783	15348675
RECQL	12	21468910	21501669
KRAS	12	25205246	25250936
RASSF8	12	25958232	26079892
CCDC91	12	28133249	28581511
ERGIC2	12	29337352	29381189
SINHCAF	12	31280584	31327058
PKP2	12	32790745	32896798
IRAK4	12	43758944	43798307
RPAP3	12	47661249	47706030
VDR	12	47841537	47943048
SENP1	12	48039784	48106079
CCNT1	12	48688458	48716998
FKBP11	12	48921518	48926474
PRKAG1	12	49002274	49018807
KMT2D	12	49018975	49060794
LMBR1L	12	49097136	49110900
SPATS2	12	49366584	49527425
LARP4	12	50392383	50480004
DIP2B	12	50504985	50748657
ATF1	12	50763710	50821162
SLC11A2	12	50979401	51028566
DAZAP2	12	51238724	51271362
ACVRL1	12	51906908	51923361
ACVR1B	12	51951699	51997078
NR4A1	12	52022832	52059507
TNS2	12	53046969	53064379
MFSD5	12	53251251	53254406
SP1	12	53380176	53416446
PRR13	12	53441678	53446645
CBX5	12	54230942	54280133
GDF11	12	55743122	55757264
PYM1	12	55901413	55932618
CDK2	12	55966781	55972789
ERBB3	12	56076799	56103505
STAT2	12	56341597	56360203
RBMS2	12	56521820	56596193
PTGES3	12	56663341	56688408
NEMP1	12	57055643	57088063
STAT6	12	57095408	57132139
LRP1	12	57128483	57213361
NXPH4	12	57216794	57226449
SHMT2	12	57229573	57234935
R3HDM2	12	57253762	57431043
TSPAN31	12	57738013	57750219
CDK4	12	57747727	57756013
MON2	12	62466817	62600476
PPM1H	12	62643994	62935150
DPY19L2	12	63558913	63668939
TBK1	12	64452090	64502114
RASSF3	12	64507001	64697567
GNS	12	64713445	64759431
TBC1D30	12	64759484	64881033
TMBIM4	12	66135846	66170027
CAND1	12	67269358	67319953
MDM1	12	68272443	68332381
NUP107	12	68686951	68745809
MDM2	12	68808177	68845544
CPSF6	12	69239569	69274358
CCT2	12	69585426	69601570
ZDHHC17	12	76764103	76853696
PAWR	12	79574979	79690964
TMTC3	12	88142296	88199887
KITLG	12	88492793	88580851
DUSP6	12	89347235	89352501
ATP2B1	12	89588049	89709366
SOCS2	12	93569814	93583487
NTN4	12	95657807	95791189
LTA4H	12	96000753	96043520
ELK3	12	96194375	96269824
CDK17	12	96278261	96400480
TMPO	12	98515561	98550351
APAF1	12	98645149	98735433
WASHC3	12	102012840	102062149
NT5DC3	12	103770453	103841234
TXNRD1	12	104215779	104350307
WASHC4	12	105107324	105169130
CKAP4	12	106237881	106304279
MTERF2	12	106973120	106987163
PWP1	12	107685799	107713162
SART3	12	108522214	108561400
CORO1C	12	108645109	108731526
UNG	12	109097597	109126725
ACACB	12	109116587	109268226
KCTD10	12	109448655	109477359
ANKRD13A	12	109999186	110039763
ATP2A2	12	110280756	110351093
CUX2	12	111034165	111350554
PHETA1	12	111360651	111369121
ATXN2	12	111443485	111599676
ALDH2	12	111766887	111817532
TRAFD1	12	112125538	112153604
HECTD4	12	112160188	112382439
PTPN11	12	112418351	112509918
TPCN1	12	113221050	113298585
RBM19	12	113816738	113966325
TBX3	12	114670255	114684175
RFC5	12	118013588	118033130
HSPB8	12	119171555	119224855
PRKAB1	12	119667864	119681624
GCN1	12	120127202	120194715
PXN	12	120210439	120265771
MSI1	12	120341330	120369164
P2RX4	12	121210065	121234106
MLXIP	12	122078756	122147344
ZCCHC8	12	122471600	122500932
VPS37B	12	122865330	122896127
MPHOSPH9	12	123152320	123244014
SBNO1	12	123289109	123364847
RILPL1	12	123470054	123533719
DDX55	12	123602077	123620943
NCOR2	12	124324415	124567612
SCARB1	12	124776856	124882668
BRI3BP	12	124993645	125031231
RAN	12	130872037	130877678
SFSWAP	12	131711081	131799738
ULK1	12	131894622	131923150
DDX51	12	132136594	132144319
PGAM5	12	132710819	132722734
CHFR	12	132822187	132956304
PSPC1	13	19674752	19783019
CDK8	13	26254104	26420982
RFC3	13	33818069	33966558
DCLK1	13	35768652	36131382
SPART	13	36301638	36370180
PROSER1	13	39009865	39038089
FOXO1	13	40555667	40666641
NAA16	13	41311267	41377030
VWA8	13	41566835	41961120
AKAP11	13	42272152	42323261
LRCH1	13	46553168	46753040
RB1	13	48303744	48599436
LPAR6	13	48389567	48444704
CYSLTR2	13	48653711	48711226
FNDC3A	13	48975912	49209779
KPNA3	13	49699320	49792682
SPRYD7	13	49912702	49936490
DLEU2	13	49956669	50126118
DLEU1	13	50081725	50906856
RNASEH2B	13	50909747	51024120
